Catalog Number,Year,Day of Year,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Julian Date,Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Delta Julian Date,Delta Inclination (rad),Delta Omega (rad),Delta Eccentricity,Delta Argument of Perigee (rad),Delta Mean Anomaly (rad),Delta Mean Motion (rev/day),Delta Orbital Period (s),Delta Semi-major axis (km),Maneuver
26997,2001,341.6766185,1.1528946906973743,0.33661467151513835,0.0009347,3.849599427295309,2.434140894586412,12.83895798,6729.518091311644,7703.980281807992,2532.6766185,0.9139425592755557,0.4058435638824982,0.33029365305935826,0.9438782245336017,-0.6503208903390805,-0.7596596208754193,0.649899167939673,-0.7600204415088588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26997,2001,341.8324621,1.1528877093803662,0.3312896719673037,0.0006292,3.348002272247651,2.939385787770738,12.83892938,6729.533081986623,7703.991722728428,2532.8324621,0.9139397259307083,0.40584994439534144,0.3252628428641218,0.9456236476801696,-0.20494705983222733,-0.9787730598387583,0.20083172068534372,-0.9796257550547373,0.15584360000002562,-6.981317008047938e-06,-0.0053249995478346634,-0.0003055,-0.5015971550476581,0.5052448931843263,-2.86000000002673e-05,0.014990674979344476,0.011440920436143642,0
26997,2001,342.06603881,1.1528318588443027,0.3227934091685953,0.0005607,4.01005801740666,2.2740697675690034,12.84150433,6728.1836909212025,7702.961830072339,2533.06603881,0.9139170575683463,0.40590098778595757,0.3172169327858395,0.9483530026071222,-0.7633384632241889,-0.6459987543041655,0.7627292848089345,-0.6467178968413131,0.23357670999985203,-5.5850536063495326e-05,-0.00849626279870841,-6.849999999999998e-05,0.6620557451590092,-0.6653160202017347,0.0025749499999996317,-1.3493910654206047,-1.0298926560890322,0
26997,2001,342.92271935,1.1527358657354427,0.2915083823265969,0.0005249,3.957375253935211,2.3268205988812802,12.84153341,6728.168454767117,7702.950201024239,2533.92271935,0.913878089659974,0.40598871565529576,0.2873972973814746,0.9578114602873701,-0.7282621365337901,-0.6852986651754396,0.7275692392240687,-0.6860342572604591,0.8566805400000703,-9.599310885999301e-05,-0.031285026841998353,-3.58e-05,-0.05268276347144907,0.05275083131227687,2.9080000000902828e-05,-0.015236154085869202,-0.011629048100076034,0
26997,2001,343.54575988,1.1527411017231988,0.2687946674411427,0.0005238,3.9202189394895033,2.3640118199120272,12.84153046,6728.17000038483,7702.951380722785,2534.54575988,0.913880215399391,0.4059839305952426,0.2655695787722084,0.9640916962772534,-0.7023021639804823,-0.7118789717840608,0.7015575448655612,-0.7126128059768545,0.6230405299997983,5.2359877560359536e-06,-0.022713714885454206,-1.0999999999999725e-06,-0.03715631444570766,0.03719122103074701,-2.9500000007232074e-06,0.0015456177134183235,0.0011796985463661258,0
26997,2001,344.71395995,1.1527393563939468,0.22621910566799303,0.0005211,3.9065477754586317,2.3776864746014033,12.84153186,6728.16926687125,7702.950820865791,2535.71395995,0.9138795068223691,0.40598552561649703,0.22429457306603937,0.9745213925271846,-0.6925046235739566,-0.7214134364764027,0.69174752124981,-0.722139437258999,1.168200070000239,-1.7453292520119845e-06,-0.042575561773149695,-2.7000000000000114e-06,-0.013671164030871541,0.013674654689376009,1.4000000003733248e-06,-0.0007335135796893155,-0.0005598569941867027,0
26997,2001,345.18124016,1.1527393563939468,0.20918992815628432,0.0005209,3.9022595014864816,2.3819782392320574,12.84153148,6728.169465967777,7702.950972826965,2536.18124016,0.9138795068223691,0.40598552561649703,0.20766755622905078,0.9781994613011469,-0.6894046472670387,-0.7243764437960486,0.6886419075455983,-0.7251015950692424,0.46728020999989894,0.0,-0.01702917751170871,-2.0000000000000486e-07,-0.004288273972150147,0.004291764630654171,-3.7999999946691787e-07,0.00019909652655769605,0.0001519611741969129,0
26997,2001,345.5706397,1.1527358657354427,0.1949899293620585,0.0005189,3.8962363702378493,2.3880258050902174,12.84153439,6728.16794130783,7702.949809124482,2536.5706397,0.913878089659974,0.40598871565529576,0.19375665517671303,0.9810496208524482,-0.6850291541418871,-0.7285156538988373,0.6842442417948792,-0.7292529174234073,0.38939953999988575,-3.490658504023969e-06,-0.014199998794225815,-2.0000000000000486e-06,-0.006023131248632296,0.00604756585816002,2.9099999991899494e-06,-0.0015246599468810018,-0.0011637024826995912,1
26997,2001,346.73883973,1.152732375076939,0.15240738627190084,0.0005155,3.884312280788224,2.3999621118446064,12.84153444,6728.167915110929,7702.949789129598,2537.7388397299997,0.9138766724864436,0.40599190568914745,0.15181805105866228,0.9884084577606311,-0.6762937746892802,-0.7366320182537038,0.6754911185540071,-0.7373681229580353,1.1682000299997526,-3.4906585038019244e-06,-0.04258254309015766,-3.3999999999999742e-06,-0.011924089449625086,0.011936306754388948,5.000000058430487e-08,-2.6196900762442965e-05,-1.9994884496554732e-05,0
26997,2001,347.51763967,1.1527253937599309,0.12401786065896106,0.000516,3.8710006545832636,2.4132824646958273,12.8415344,6728.167936068449,7702.949805125505,2538.5176396700003,0.9138738381059767,0.4059982857420105,0.12370019704834286,0.9923196366343866,-0.6664283756670815,-0.745569057905259,0.665609479511869,-0.7463002216158983,0.7787999400006811,-6.981317008047938e-06,-0.02838952561293978,4.999999999999579e-07,-0.013311626204960625,0.013320352851220907,-3.999999975690116e-08,2.095752006425755e-05,1.5995907233445905e-05,0
26997,2001,348.68583926,1.1527219031014266,0.08143531756880341,0.0005153,3.8604222139869258,2.423848687987401,12.84153459,6728.16783652023,7702.949729144946,2539.68583926,0.9138724208990402,0.4060014757610218,0.08134533816201751,0.9966859766041193,-0.6585042773183382,-0.7525769839381571,0.6576868957935125,-0.7532914091515271,1.1681995899998583,-3.4906585042460136e-06,-0.042582543090157646,-6.999999999999628e-07,-0.010578440596337835,0.010566223291573529,1.8999999973345894e-07,-9.954821962310234e-05,-7.59805589041207e-05,0
26997,2001,349.46463875,1.152720157772175,0.053045791955863654,0.0005111,3.8569664620679767,2.4273306198451294,12.84153603,6728.167082049607,7702.9491532923485,2540.4646387499997,0.9138717122913964,0.4060030707686718,0.05302091825195339,0.9985934018546886,-0.6558996311403296,-0.7548481131128166,0.6550600048933601,-0.7555768590878832,0.7787994899995283,-1.7453292515678953e-06,-0.02838952561293976,-4.199999999999994e-06,-0.0034557519189490904,0.003481931857728604,1.440000000130226e-06,-0.0007544706222688546,-0.0005758525976489182,0
26997,2001,349.69827863,1.152720157772175,0.04453033053538333,0.0005111,3.8551094317438546,2.4291824141814957,12.84153603,6728.167082049607,7702.9491532923485,2540.69827863,0.9138717122913964,0.4060030707686718,0.044515615088797734,0.9990086886575441,-0.6544967251550339,-0.7560648363476085,0.653659709598019,-0.7567885993117454,0.23363988000028257,0.0,-0.008515461420480326,0.0,-0.0018570303241220998,0.0018517943363662859,0.0,0.0,0.0,0
26997,2001,350.47707827,1.1527166671136708,0.016135568934687577,0.0005062,3.848709309376792,2.435601735170331,12.84153663,6728.166767686897,7702.948913353798,2541.47707827,0.9138702950677571,0.40600626078026264,0.01613486877686511,0.9998698245319504,-0.6496444461600315,-0.7602381821333536,0.6487882061687745,-0.7609690292885143,0.7787996400002157,-3.4906585042460136e-06,-0.02839476160069575,-4.8999999999999565e-06,-0.006400122367062444,0.006419320988835242,5.999999999062311e-07,-0.0003143627100143931,-0.00023993855029402766,0
26997,2001,351.80103739,1.152709685796663,6.251048559662616,0.0004903,3.855053581207791,2.429273171302599,12.84153792,6728.166091807172,7702.948397485979,2542.80103739,0.9138674605870729,0.40601264078860233,-0.032131216154923495,0.9994836591702766,-0.654454497507867,-0.7561013891613514,0.6535910229515058,-0.7568479204683093,1.3239591199999268,-6.9813170078258935e-06,6.234912990727929,-1.5900000000000007e-05,0.006344271830998949,-0.006328563867731951,1.2900000001536682e-06,-0.0006758797253496596,-0.0005158678195584798,0
26997,2001,352.66401548,1.152678269870127,6.220070710768967,0.0007809,4.680993997799815,1.5303971905989837,12.81868394,6740.161502101908,7712.101222674342,2543.6640154799998,0.9138547048728038,0.40604135058124385,-0.06307270242512834,0.9980089349343477,-0.9995072180119149,-0.031389825454792956,0.9991840658795423,0.04038814792022893,0.8629780899996149,-3.141592653599368e-05,-0.03097784889364874,0.0002905999999999999,0.8259404165920241,-0.8988759807036153,-0.022853980000000718,11.995410294735848,9.15282518836375,0
26997,2001,352.97698484,1.152680015199379,6.208698145362972,0.0007839,4.670654667311001,1.6127680046468562,12.81868475,6740.1610761977745,7712.100897794311,2543.97698484,0.9138554135472586,0.40603975560327693,-0.07441830093981665,0.9972271137936588,-0.9991292499530918,-0.04172219898533881,0.9991193184261847,-0.04195935590063387,0.312969360000352,1.7453292520119845e-06,-0.011372565405994628,3.000000000000073e-06,-0.010339330488814191,0.0823708140478725,8.099999995181406e-07,-0.00042590413340803934,-0.000324880031257635,0
26997,2001,353.67915546,1.1526747792116232,6.183235536905627,0.0007808,4.747859306772971,1.535538930575359,12.81868392,6740.1615126180595,7712.101230696072,2544.67915546,0.9138532875155431,0.4060445405334669,-0.09978343773427663,0.9950091786279812,-0.9993709939254576,0.03546288905945073,0.9993785223889832,0.035250092022754594,0.7021706199998334,-5.235987755813909e-06,-0.02546260845734505,-3.100000000000021e-06,0.07720463946196965,-0.07722907407149715,-8.299999993965912e-07,0.00043642028504109476,0.0003329017608848517,0
26997,2001,353.99122883,1.152700959150403,6.171875188804396,0.0008015,4.75642712807101,1.5269187493997594,12.81869347,6740.156491159158,7712.09740032256,2544.99122883,0.9138639174235822,0.4060206157711995,-0.11108040640044034,0.9938114224106669,-0.9990304774770153,0.044023914774208014,0.9990375335308886,0.04386349959269778,0.3120733700002347,2.617993877973568e-05,-0.01136034810123121,2.0700000000000015e-05,0.008567821298039568,-0.008620181175599706,9.54999999969175e-06,-0.005021458901865117,-0.003830373511846119,0
26997,2001,354.14726669,1.1526957231626471,6.166202868735414,0.0008023,4.746475260676139,1.536877598111639,12.81869,6740.158315709327,7712.098792091232,2545.14726669,0.9138617914920825,0.406025400745916,-0.11671580563365208,0.9931653541658043,-0.9994191189937831,0.03407968001156025,0.999424815070332,0.033912225253330736,0.15603785999974207,-5.235987755813909e-06,-0.00567232006898255,8.000000000000194e-07,-0.009951867394871527,0.009958848711879575,-3.4699999993392794e-06,0.0018245501696583233,0.0013917686719651101,0
